what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1526080325746
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1526080327528
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1526080439702
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1526080440405
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1526080441296
closed,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1526080441686
closed,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.ProblemView",1526080441858
closed,view,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console.ConsoleView",1526080441889
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1526080442061
closed,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1526080442155
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1526080442233
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1526080442358
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1526080442546
closed,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1526080442983
stopped,bundle,org.eclipse.m2e.logback.configuration,1.7.0.20160603-1933,"org.eclipse.m2e.logback.configuration",1526080445405
stopped,bundle,org.eclipse.recommenders.apidocs.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.apidocs.rcp",1526080445405
stopped,bundle,org.eclipse.recommenders.coordinates.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates.rcp",1526080445405
stopped,bundle,org.eclipse.recommenders.models,2.4.5.v20161130-1427,"org.eclipse.recommenders.models",1526080445405
stopped,bundle,org.eclipse.recommenders.coordinates,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates",1526080445405
stopped,bundle,org.eclipse.egit.mylyn.ui,4.4.1.201607150455-r,"org.eclipse.egit.mylyn.ui",1526080445812
stopped,bundle,org.eclipse.tm.terminal.connector.local,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.local",1526080445812
stopped,bundle,org.eclipse.tm.terminal.connector.process,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.process",1526080446171
stopped,bundle,org.eclipse.tm.terminal.connector.serial,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.serial",1526080446187
stopped,bundle,org.eclipse.tm.terminal.connector.ssh,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.ssh",1526080446202
stopped,bundle,org.eclipse.tm.terminal.connector.telnet,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.telnet",1526080446233
stopped,bundle,org.eclipse.tm.terminal.view.ui,4.2.0.201609191434,"org.eclipse.tm.terminal.view.ui",1526080446233
stopped,bundle,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui",1526080446233
stopped,bundle,org.eclipse.oomph.setup.editor,1.6.0.v20161125-1207,"org.eclipse.oomph.setup.editor",1526080446233
stopped,bundle,org.eclipse.oomph.resources.edit,1.6.0.v20161019-0656,"org.eclipse.oomph.resources.edit",1526080446577
stopped,bundle,org.eclipse.oomph.workingsets.editor,1.6.0.v20161111-1110,"org.eclipse.oomph.workingsets.editor",1526080446577
stopped,bundle,org.eclipse.oomph.workingsets.edit,1.6.0.v20161019-0656,"org.eclipse.oomph.workingsets.edit",1526080447030
stopped,bundle,org.eclipse.oomph.predicates.edit,1.6.0.v20161019-0656,"org.eclipse.oomph.predicates.edit",1526080447030
stopped,bundle,org.eclipse.oomph.resources,1.6.0.v20161019-0656,"org.eclipse.oomph.resources",1526080447030
stopped,bundle,org.eclipse.oomph.workingsets,1.6.0.v20161019-0656,"org.eclipse.oomph.workingsets",1526080447030
stopped,bundle,org.eclipse.oomph.predicates,1.6.0.v20161019-0656,"org.eclipse.oomph.predicates",1526080447030
stopped,bundle,org.eclipse.egit.core,4.4.1.201607150455-r,"org.eclipse.egit.core",1526080447030
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.1.0.201603142002,"org.eclipse.datatools.enablement.postgresql.ui",1526080447218
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.4.100.v201603180253,"org.eclipse.jpt.jpa.eclipselink.ui",1526080447233
stopped,bundle,org.eclipse.jpt.jpa.ui,3.4.100.v201603180253,"org.eclipse.jpt.jpa.ui",1526080447249
stopped,bundle,org.eclipse.jpt.jpa.db.ui,2.1.200.v201603180253,"org.eclipse.jpt.jpa.db.ui",1526080447483
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1526080447515
